,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
41,41,0.03147862536139759,2023-12-18 19:22:28.472583,2023-12-18 19:22:38.855375,0 days 00:00:10.382792,0.4296409454180981,570,COMPLETE
42,42,0.031510731999721826,2023-12-18 19:22:38.856305,2023-12-18 19:22:47.916520,0 days 00:00:09.060215,0.42778769884400625,544,COMPLETE
43,43,0.03150122258282902,2023-12-18 19:22:47.917612,2023-12-18 19:22:56.823593,0 days 00:00:08.905981,0.42231860754802664,572,COMPLETE
44,44,0.03150244042083442,2023-12-18 19:22:56.824521,2023-12-18 19:23:05.917888,0 days 00:00:09.093367,0.4214445225830973,567,COMPLETE
45,45,0.03149892134348116,2023-12-18 19:23:05.918784,2023-12-18 19:23:15.553922,0 days 00:00:09.635138,0.4209303206134132,570,COMPLETE
46,46,0.03143793454674309,2023-12-18 19:23:15.554839,2023-12-18 19:23:25.095102,0 days 00:00:09.540263,0.39305354126403524,644,COMPLETE
47,47,0.03141998329822191,2023-12-18 19:23:25.096274,2023-12-18 19:23:34.556720,0 days 00:00:09.460446,0.38160861062791873,605,COMPLETE
48,48,0.03149956584865934,2023-12-18 19:23:34.557696,2023-12-18 19:23:44.885810,0 days 00:00:10.328114,0.42090768819576885,574,COMPLETE
49,49,0.031463315397901134,2023-12-18 19:23:44.886772,2023-12-18 19:23:54.659775,0 days 00:00:09.773003,0.41232726594332,663,COMPLETE
50,50,0.0314099559047748,2023-12-18 19:23:54.660865,2023-12-18 19:24:04.551734,0 days 00:00:09.890869,0.37536706615798976,513,COMPLETE
51,51,0.03149348061265183,2023-12-18 19:24:04.552815,2023-12-18 19:24:14.646789,0 days 00:00:10.093974,0.4200164226505282,568,COMPLETE
52,52,0.031468807530983904,2023-12-18 19:24:14.647719,2023-12-18 19:24:23.519663,0 days 00:00:08.871944,0.42983619146032886,581,COMPLETE
53,53,0.03148640291775031,2023-12-18 19:24:23.520609,2023-12-18 19:24:32.966923,0 days 00:00:09.446314,0.41778365877453155,611,COMPLETE
54,54,0.03145108561559361,2023-12-18 19:24:32.967833,2023-12-18 19:24:42.163033,0 days 00:00:09.195200,0.40496652659218635,560,COMPLETE
55,55,0.03143298411433151,2023-12-18 19:24:42.164014,2023-12-18 19:24:51.262129,0 days 00:00:09.098115,0.37916916953936886,545,COMPLETE
56,56,0.03147519722649279,2023-12-18 19:24:51.263076,2023-12-18 19:24:59.645787,0 days 00:00:08.382711,0.4413776763866356,592,COMPLETE
57,57,0.03150385991383423,2023-12-18 19:24:59.646716,2023-12-18 19:25:08.041761,0 days 00:00:08.395045,0.4237926109799508,571,COMPLETE
58,58,0.03139013440503104,2023-12-18 19:25:08.042722,2023-12-18 19:25:16.144421,0 days 00:00:08.101699,0.3509639083619248,545,COMPLETE
59,59,0.03144917582417605,2023-12-18 19:25:16.145337,2023-12-18 19:25:24.605268,0 days 00:00:08.459931,0.4000458523272918,579,COMPLETE
60,60,0.03148939611051033,2023-12-18 19:25:24.606170,2023-12-18 19:25:32.775395,0 days 00:00:08.169225,0.44339460286432003,616,COMPLETE
61,61,0.031501708927227284,2023-12-18 19:25:32.776261,2023-12-18 19:25:41.301629,0 days 00:00:08.525368,0.4213464407327076,568,COMPLETE
62,62,0.031504192051472035,2023-12-18 19:25:41.302497,2023-12-18 19:25:49.338838,0 days 00:00:08.036341,0.42757314162795007,533,COMPLETE
63,63,0.031451184466081056,2023-12-18 19:25:49.339806,2023-12-18 19:25:57.251307,0 days 00:00:07.911501,0.4291145060280538,510,COMPLETE
64,64,0.03140369273788987,2023-12-18 19:25:57.252205,2023-12-18 19:26:05.458239,0 days 00:00:08.206034,0.3889273643939147,532,COMPLETE
