,number,value,datetime_start,datetime_complete,duration,params_normalize,params_shrink,params_similarity,params_topK,state
184,184,0.027565280861913084,2023-12-08 22:07:11.280013,2023-12-08 22:07:15.531004,0 days 00:00:04.250991,False,14,tversky,34,COMPLETE
185,185,0.026639320667818118,2023-12-08 22:07:15.531830,2023-12-08 22:07:19.829308,0 days 00:00:04.297478,False,3,tversky,32,COMPLETE
186,186,0.026957994869264368,2023-12-08 22:07:19.829904,2023-12-08 22:07:24.277985,0 days 00:00:04.448081,False,49,tversky,31,COMPLETE
187,187,0.026387153074329397,2023-12-08 22:07:24.278655,2023-12-08 22:07:28.859595,0 days 00:00:04.580940,False,81,tversky,48,COMPLETE
188,188,0.02422116887142799,2023-12-08 22:07:28.860187,2023-12-08 22:07:33.680711,0 days 00:00:04.820524,False,0,tversky,105,COMPLETE
189,189,0.027523775519241907,2023-12-08 22:07:33.681418,2023-12-08 22:07:37.950704,0 days 00:00:04.269286,False,40,tversky,18,COMPLETE
190,190,0.027502696641297734,2023-12-08 22:07:37.951310,2023-12-08 22:07:42.091916,0 days 00:00:04.140606,False,41,tversky,18,COMPLETE
191,191,0.027420010185554365,2023-12-08 22:07:42.092542,2023-12-08 22:07:46.231302,0 days 00:00:04.138760,False,38,tversky,25,COMPLETE
192,192,0.02717983117918365,2023-12-08 22:07:46.231871,2023-12-08 22:07:50.427491,0 days 00:00:04.195620,False,48,tversky,21,COMPLETE
193,193,0.027086504456970844,2023-12-08 22:07:50.428158,2023-12-08 22:07:54.436645,0 days 00:00:04.008487,False,67,tversky,8,COMPLETE
194,194,0.02726349032372354,2023-12-08 22:07:54.437417,2023-12-08 22:07:58.621927,0 days 00:00:04.184510,False,39,tversky,28,COMPLETE
195,195,0.027444695129280775,2023-12-08 22:07:58.622680,2023-12-08 22:08:02.583278,0 days 00:00:03.960598,False,37,tversky,7,COMPLETE
196,196,0.026435048112509397,2023-12-08 22:08:02.583868,2023-12-08 22:08:06.973951,0 days 00:00:04.390083,False,103,tversky,19,COMPLETE
197,197,0.026903200067060356,2023-12-08 22:08:06.974510,2023-12-08 22:08:10.959003,0 days 00:00:03.984493,True,64,tversky,6,COMPLETE
198,198,0.027086152549235607,2023-12-08 22:08:10.959566,2023-12-08 22:08:15.290888,0 days 00:00:04.331322,False,42,tversky,37,COMPLETE
199,199,0.024976070273997765,2023-12-08 22:08:15.291615,2023-12-08 22:08:22.034217,0 days 00:00:06.742602,False,19,tversky,551,COMPLETE
200,200,0.026647418499750258,2023-12-08 22:08:22.034860,2023-12-08 22:08:26.168964,0 days 00:00:04.134104,False,88,jaccard,25,COMPLETE
201,201,0.0272897805993662,2023-12-08 22:08:26.169607,2023-12-08 22:08:30.485661,0 days 00:00:04.316054,False,35,tversky,39,COMPLETE
202,202,0.027252814471078857,2023-12-08 22:08:30.486278,2023-12-08 22:08:34.940804,0 days 00:00:04.454526,False,18,tversky,69,COMPLETE
203,203,0.025943512086646844,2023-12-08 22:08:34.941510,2023-12-08 22:08:38.711910,0 days 00:00:03.770400,False,2,tversky,6,COMPLETE
204,204,0.02714721447234412,2023-12-08 22:08:38.712540,2023-12-08 22:08:43.088233,0 days 00:00:04.375693,False,51,tversky,40,COMPLETE
205,205,0.027021097066434005,2023-12-08 22:08:43.088886,2023-12-08 22:08:47.785787,0 days 00:00:04.696901,False,36,tversky,67,COMPLETE
206,206,0.024267612784452195,2023-12-08 22:08:47.786350,2023-12-08 22:08:51.858004,0 days 00:00:04.071654,True,0,tversky,22,COMPLETE
207,207,0.026618870478974203,2023-12-08 22:08:51.858565,2023-12-08 22:08:55.829110,0 days 00:00:03.970545,False,63,tversky,5,COMPLETE
208,208,0.027189558067148893,2023-12-08 22:08:55.829802,2023-12-08 22:09:00.365339,0 days 00:00:04.535537,False,35,tversky,55,COMPLETE
209,209,0.027127143869372004,2023-12-08 22:09:00.365998,2023-12-08 22:09:05.254546,0 days 00:00:04.888548,False,19,tversky,85,COMPLETE
210,210,0.026726004637274214,2023-12-08 22:09:05.255188,2023-12-08 22:09:09.666631,0 days 00:00:04.411443,False,48,dice,34,COMPLETE
211,211,0.027272019143780815,2023-12-08 22:09:09.667287,2023-12-08 22:09:14.059182,0 days 00:00:04.391895,False,19,tversky,51,COMPLETE
212,212,0.027417198877691222,2023-12-08 22:09:14.059791,2023-12-08 22:09:18.395461,0 days 00:00:04.335670,False,25,tversky,42,COMPLETE
213,213,0.0243277731911152,2023-12-08 22:09:18.396375,2023-12-08 22:09:22.567229,0 days 00:00:04.170854,False,0,tversky,33,COMPLETE
214,214,0.027057545218167143,2023-12-08 22:09:22.567852,2023-12-08 22:09:27.153413,0 days 00:00:04.585561,False,32,tversky,67,COMPLETE
215,215,0.02304460292154599,2023-12-08 22:09:27.154201,2023-12-08 22:09:32.229417,0 days 00:00:05.075216,False,908,tversky,23,COMPLETE
216,216,0.024660041311595802,2023-12-08 22:09:32.230011,2023-12-08 22:09:37.187729,0 days 00:00:04.957718,True,281,tversky,48,COMPLETE
217,217,0.022395447816432337,2023-12-08 22:09:37.188401,2023-12-08 22:09:41.434323,0 days 00:00:04.245922,False,660,tversky,5,COMPLETE
218,218,0.02638761174059118,2023-12-08 22:09:41.434936,2023-12-08 22:09:46.274169,0 days 00:00:04.839233,False,66,tversky,77,COMPLETE
219,219,0.025154530990023235,2023-12-08 22:09:46.274882,2023-12-08 22:09:53.154494,0 days 00:00:06.879612,False,30,tversky,466,COMPLETE
220,220,0.027336762259042188,2023-12-08 22:09:53.155125,2023-12-08 22:09:57.573962,0 days 00:00:04.418837,False,18,tversky,41,COMPLETE
221,221,0.027507243763720504,2023-12-08 22:09:57.574603,2023-12-08 22:10:01.882815,0 days 00:00:04.308212,False,16,tversky,40,COMPLETE
222,222,0.027597446810529797,2023-12-08 22:10:01.883423,2023-12-08 22:10:06.226081,0 days 00:00:04.342658,False,15,tversky,34,COMPLETE
223,223,0.02718635926537496,2023-12-08 22:10:06.226771,2023-12-08 22:10:10.400976,0 days 00:00:04.174205,False,47,tversky,22,COMPLETE
224,224,0.027499924873629643,2023-12-08 22:10:10.401782,2023-12-08 22:10:14.693922,0 days 00:00:04.292140,False,13,tversky,35,COMPLETE
225,225,0.026173960251032864,2023-12-08 22:10:14.694533,2023-12-08 22:10:18.717795,0 days 00:00:04.023262,False,2,tversky,24,COMPLETE
226,226,0.02740189682223377,2023-12-08 22:10:18.718382,2023-12-08 22:10:23.128680,0 days 00:00:04.410298,False,34,tversky,42,COMPLETE
227,227,0.027089280178658557,2023-12-08 22:10:23.129298,2023-12-08 22:10:27.519351,0 days 00:00:04.390053,True,48,tversky,35,COMPLETE
228,228,0.02734874293812125,2023-12-08 22:10:27.520076,2023-12-08 22:10:31.321432,0 days 00:00:03.801356,False,34,tversky,5,COMPLETE
229,229,0.026912128243086933,2023-12-08 22:10:31.322134,2023-12-08 22:10:35.887388,0 days 00:00:04.565254,False,65,tversky,41,COMPLETE
230,230,0.02783583464606791,2023-12-08 22:10:35.888269,2023-12-08 22:10:40.228126,0 days 00:00:04.339857,False,18,tversky,23,COMPLETE
231,231,0.02778939073304375,2023-12-08 22:10:40.228782,2023-12-08 22:10:44.200685,0 days 00:00:03.971903,False,20,tversky,21,COMPLETE
232,232,0.027495168188173474,2023-12-08 22:10:44.201440,2023-12-08 22:10:48.213365,0 days 00:00:04.011925,False,32,tversky,22,COMPLETE
233,233,0.02390888436549063,2023-12-08 22:10:48.213917,2023-12-08 22:10:53.004406,0 days 00:00:04.790489,False,488,tversky,21,COMPLETE
234,234,0.02750730307401298,2023-12-08 22:10:53.005083,2023-12-08 22:10:57.229458,0 days 00:00:04.224375,False,45,tversky,18,COMPLETE
235,235,0.027362929960080284,2023-12-08 22:10:57.230144,2023-12-08 22:11:01.434067,0 days 00:00:04.203923,False,47,tversky,15,COMPLETE
236,236,0.02752786792942248,2023-12-08 22:11:01.434670,2023-12-08 22:11:05.677944,0 days 00:00:04.243274,False,33,tversky,25,COMPLETE
237,237,0.02667660311766542,2023-12-08 22:11:05.678594,2023-12-08 22:11:09.940054,0 days 00:00:04.261460,False,78,tversky,22,COMPLETE
238,238,0.027227753895500095,2023-12-08 22:11:09.940662,2023-12-08 22:11:13.933671,0 days 00:00:03.993009,True,58,tversky,8,COMPLETE
239,239,0.024331391118955964,2023-12-08 22:11:13.934287,2023-12-08 22:11:18.141166,0 days 00:00:04.206879,False,0,tversky,30,COMPLETE
240,240,0.027412639893209925,2023-12-08 22:11:18.141973,2023-12-08 22:11:21.953526,0 days 00:00:03.811553,False,33,tversky,5,COMPLETE
241,241,0.027580357538259243,2023-12-08 22:11:21.954394,2023-12-08 22:11:25.790663,0 days 00:00:03.836269,False,31,tversky,7,COMPLETE
242,242,0.02732465900535862,2023-12-08 22:11:25.791322,2023-12-08 22:11:29.936511,0 days 00:00:04.145189,False,38,tversky,26,COMPLETE
243,243,0.027406036680648227,2023-12-08 22:11:29.937254,2023-12-08 22:11:34.315338,0 days 00:00:04.378084,False,18,tversky,34,COMPLETE
244,244,0.027151777410844888,2023-12-08 22:11:34.315980,2023-12-08 22:11:38.555324,0 days 00:00:04.239344,False,53,tversky,23,COMPLETE
245,245,0.024421609981843218,2023-12-08 22:11:38.555927,2023-12-08 22:11:42.843275,0 days 00:00:04.287348,False,0,tversky,43,COMPLETE
246,246,0.027610803488394384,2023-12-08 22:11:42.844001,2023-12-08 22:11:46.656558,0 days 00:00:03.812557,False,30,tversky,6,COMPLETE
247,247,0.02744196290180763,2023-12-08 22:11:46.657222,2023-12-08 22:11:50.593599,0 days 00:00:03.936377,False,40,jaccard,7,COMPLETE
248,248,0.027183532141433858,2023-12-08 22:11:50.594230,2023-12-08 22:11:54.559668,0 days 00:00:03.965438,False,52,jaccard,6,COMPLETE
249,249,0.026520518197979456,2023-12-08 22:11:54.560291,2023-12-08 22:11:58.519728,0 days 00:00:03.959437,False,70,jaccard,5,COMPLETE
