,number,value,datetime_start,datetime_complete,duration,params_normalize,params_shrink,params_similarity,params_topK,state
42,42,0.026276831976313923,2023-12-08 21:55:46.255485,2023-12-08 21:55:50.584103,0 days 00:00:04.328618,False,102,dice,10,COMPLETE
43,43,0.02593136138472928,2023-12-08 21:55:50.584689,2023-12-08 21:55:55.370336,0 days 00:00:04.785647,False,124,dice,42,COMPLETE
44,44,0.02714489741691822,2023-12-08 21:55:55.370896,2023-12-08 21:55:59.571890,0 days 00:00:04.200994,False,40,dice,10,COMPLETE
45,45,0.027230529617187745,2023-12-08 21:55:59.572455,2023-12-08 21:56:04.161659,0 days 00:00:04.589204,False,30,tversky,56,COMPLETE
46,46,0.026359601466466813,2023-12-08 21:56:04.162216,2023-12-08 21:56:09.331174,0 days 00:00:05.168958,True,31,dice,134,COMPLETE
47,47,0.026961680015436584,2023-12-08 21:56:09.331754,2023-12-08 21:56:14.371922,0 days 00:00:05.040168,True,24,tversky,127,COMPLETE
48,48,0.022582939512991354,2023-12-08 21:56:14.372590,2023-12-08 21:56:20.570742,0 days 00:00:06.198152,True,618,tversky,136,COMPLETE
49,49,0.02294380310248191,2023-12-08 21:56:20.571305,2023-12-08 21:56:25.857076,0 days 00:00:05.285771,True,844,tversky,39,COMPLETE
50,50,0.02491408706434614,2023-12-08 21:56:25.857651,2023-12-08 21:56:32.923846,0 days 00:00:07.066195,True,15,tversky,732,COMPLETE
51,51,0.026819196922823963,2023-12-08 21:56:32.924417,2023-12-08 21:56:37.977408,0 days 00:00:05.052991,True,32,tversky,118,COMPLETE
52,52,0.025880263590755848,2023-12-08 21:56:37.978050,2023-12-08 21:56:42.105102,0 days 00:00:04.127052,True,129,tversky,9,COMPLETE
53,53,0.02464989529756375,2023-12-08 21:56:42.105686,2023-12-08 21:56:48.080987,0 days 00:00:05.975301,True,187,tversky,158,COMPLETE
54,54,0.027068774633541667,2023-12-08 21:56:48.081531,2023-12-08 21:56:52.651306,0 days 00:00:04.569775,True,35,tversky,49,COMPLETE
55,55,0.026922578716620228,2023-12-08 21:56:52.651908,2023-12-08 21:56:57.869645,0 days 00:00:05.217737,True,27,tversky,112,COMPLETE
56,56,0.026091661289200197,2023-12-08 21:56:57.870241,2023-12-08 21:57:03.293512,0 days 00:00:05.423271,True,3,tversky,192,COMPLETE
57,57,0.025725815635142105,2023-12-08 21:57:03.294148,2023-12-08 21:57:08.682927,0 days 00:00:05.388779,True,100,tversky,118,COMPLETE
58,58,0.02472832327430778,2023-12-08 21:57:08.683496,2023-12-08 21:57:15.104155,0 days 00:00:06.420659,True,150,tversky,233,COMPLETE
59,59,0.024907309874926457,2023-12-08 21:57:15.104655,2023-12-08 21:57:21.792736,0 days 00:00:06.688081,True,32,tversky,526,COMPLETE
60,60,0.025946932313512697,2023-12-08 21:57:21.793267,2023-12-08 21:57:26.804423,0 days 00:00:05.011156,True,99,tversky,101,COMPLETE
61,61,0.027123810630935066,2023-12-08 21:57:26.804945,2023-12-08 21:57:31.356431,0 days 00:00:04.551486,True,39,tversky,56,COMPLETE
62,62,0.027235539359891783,2023-12-08 21:57:31.357014,2023-12-08 21:57:35.983853,0 days 00:00:04.626839,True,32,tversky,60,COMPLETE
63,63,0.026141351452232373,2023-12-08 21:57:35.984492,2023-12-08 21:57:41.095546,0 days 00:00:05.111054,True,92,tversky,84,COMPLETE
64,64,0.024437137416412087,2023-12-08 21:57:41.096085,2023-12-08 21:57:46.437848,0 days 00:00:05.341763,True,0,tversky,157,COMPLETE
65,65,0.025661040887724897,2023-12-08 21:57:46.438383,2023-12-08 21:57:51.320903,0 days 00:00:04.882520,True,148,tversky,59,COMPLETE
66,66,0.025242452567582223,2023-12-08 21:57:51.321493,2023-12-08 21:57:56.411175,0 days 00:00:05.089682,True,192,tversky,61,COMPLETE
67,67,0.024021514610892927,2023-12-08 21:57:56.411779,2023-12-08 21:58:02.784643,0 days 00:00:06.372864,True,251,tversky,213,COMPLETE
68,68,0.02636101700544719,2023-12-08 21:58:02.785273,2023-12-08 21:58:07.320854,0 days 00:00:04.535581,True,83,tversky,48,COMPLETE
69,69,0.024809515110680927,2023-12-08 21:58:07.321472,2023-12-08 21:58:14.279049,0 days 00:00:06.957577,True,32,jaccard,613,COMPLETE
70,70,0.026741785129090853,2023-12-08 21:58:14.279574,2023-12-08 21:58:19.584393,0 days 00:00:05.304819,True,43,tversky,144,COMPLETE
71,71,0.026810513896006284,2023-12-08 21:58:19.585043,2023-12-08 21:58:24.721509,0 days 00:00:05.136466,True,36,tversky,110,COMPLETE
72,72,0.025755652666274463,2023-12-08 21:58:24.722103,2023-12-08 21:58:30.520488,0 days 00:00:05.798385,True,79,tversky,184,COMPLETE
73,73,0.025611251874205283,2023-12-08 21:58:30.521218,2023-12-08 21:58:35.888632,0 days 00:00:05.367414,True,114,tversky,111,COMPLETE
74,74,0.027419966691339864,2023-12-08 21:58:35.889322,2023-12-08 21:58:40.235180,0 days 00:00:04.345858,True,22,tversky,37,COMPLETE
75,75,0.027654467725711337,2023-12-08 21:58:40.235754,2023-12-08 21:58:44.460832,0 days 00:00:04.225078,True,15,tversky,28,COMPLETE
76,76,0.02701739610418379,2023-12-08 21:58:44.461488,2023-12-08 21:58:48.768213,0 days 00:00:04.306725,True,55,tanimoto,32,COMPLETE
77,77,0.027028281519861967,2023-12-08 21:58:48.768695,2023-12-08 21:58:53.192445,0 days 00:00:04.423750,True,60,tanimoto,40,COMPLETE
78,78,0.026659616649901716,2023-12-08 21:58:53.193102,2023-12-08 21:58:57.632271,0 days 00:00:04.439169,True,3,tanimoto,59,COMPLETE
79,79,0.02544085340393637,2023-12-08 21:58:57.632784,2023-12-08 21:59:02.801267,0 days 00:00:05.168483,True,148,tanimoto,81,COMPLETE
80,80,0.024597215895791086,2023-12-08 21:59:02.801868,2023-12-08 21:59:09.664429,0 days 00:00:06.862561,True,80,tanimoto,439,COMPLETE
81,81,0.026946832672221453,2023-12-08 21:59:09.664960,2023-12-08 21:59:13.972323,0 days 00:00:04.307363,True,58,tanimoto,28,COMPLETE
82,82,0.02698667337268388,2023-12-08 21:59:13.972840,2023-12-08 21:59:18.344346,0 days 00:00:04.371506,True,55,tanimoto,33,COMPLETE
83,83,0.026412276914219993,2023-12-08 21:59:18.344909,2023-12-08 21:59:22.644153,0 days 00:00:04.299244,True,104,tanimoto,23,COMPLETE
84,84,0.023041720441331855,2023-12-08 21:59:22.644682,2023-12-08 21:59:28.190661,0 days 00:00:05.545979,True,701,tanimoto,63,COMPLETE
85,85,0.025680391859148412,2023-12-08 21:59:28.191248,2023-12-08 21:59:33.429111,0 days 00:00:05.237863,True,125,jaccard,93,COMPLETE
86,86,0.026821830299809727,2023-12-08 21:59:33.429693,2023-12-08 21:59:37.339690,0 days 00:00:03.909997,True,56,tanimoto,5,COMPLETE
87,87,0.026589693769098005,2023-12-08 21:59:37.340515,2023-12-08 21:59:41.953087,0 days 00:00:04.612572,True,83,tanimoto,43,COMPLETE
88,88,0.02227911265476036,2023-12-08 21:59:41.953680,2023-12-08 21:59:47.673935,0 days 00:00:05.720255,True,944,tversky,79,COMPLETE
89,89,0.02753171519039408,2023-12-08 21:59:47.674526,2023-12-08 21:59:51.831650,0 days 00:00:04.157124,True,12,tversky,29,COMPLETE
90,90,0.02737396958251891,2023-12-08 21:59:51.832188,2023-12-08 21:59:56.266840,0 days 00:00:04.434652,False,17,tversky,55,COMPLETE
91,91,0.027314014784869767,2023-12-08 21:59:56.267355,2023-12-08 22:00:00.759684,0 days 00:00:04.492329,False,18,tversky,59,COMPLETE
92,92,0.027367896208569935,2023-12-08 22:00:00.760262,2023-12-08 22:00:05.231329,0 days 00:00:04.471067,False,14,tversky,63,COMPLETE
93,93,0.02727164746594809,2023-12-08 22:00:05.232400,2023-12-08 22:00:09.947207,0 days 00:00:04.714807,False,15,tversky,75,COMPLETE
94,94,0.02715231515749657,2023-12-08 22:00:09.947916,2023-12-08 22:00:14.600920,0 days 00:00:04.653004,False,13,tversky,94,COMPLETE
95,95,0.0270019437959853,2023-12-08 22:00:14.601479,2023-12-08 22:00:19.783712,0 days 00:00:05.182233,False,15,tversky,137,COMPLETE
96,96,0.02419951270663714,2023-12-08 22:00:19.784281,2023-12-08 22:00:24.542376,0 days 00:00:04.758095,False,0,tversky,95,COMPLETE
97,97,0.026823253746828923,2023-12-08 22:00:24.543015,2023-12-08 22:00:30.037844,0 days 00:00:05.494829,False,18,tversky,163,COMPLETE
98,98,0.02635541415981842,2023-12-08 22:00:30.038446,2023-12-08 22:00:34.861802,0 days 00:00:04.823356,False,78,tversky,69,COMPLETE
99,99,0.027081431449954854,2023-12-08 22:00:34.862344,2023-12-08 22:00:39.677372,0 days 00:00:04.815028,False,14,tversky,101,COMPLETE
100,100,0.0238708308818413,2023-12-08 22:00:39.678133,2023-12-08 22:00:44.339667,0 days 00:00:04.661534,False,544,tversky,20,COMPLETE
101,101,0.02763498231762498,2023-12-08 22:00:44.340198,2023-12-08 22:00:48.258757,0 days 00:00:03.918559,False,21,tversky,17,COMPLETE
102,102,0.027066516888408186,2023-12-08 22:00:48.259353,2023-12-08 22:00:52.839975,0 days 00:00:04.580622,False,21,tversky,79,COMPLETE
103,103,0.025517415083477303,2023-12-08 22:00:52.840503,2023-12-08 22:00:58.264426,0 days 00:00:05.423923,False,111,tversky,133,COMPLETE
104,104,0.02436390106726897,2023-12-08 22:00:58.265007,2023-12-08 22:01:02.340086,0 days 00:00:04.075079,False,0,tversky,23,COMPLETE
105,105,0.026582987752029334,2023-12-08 22:01:02.340900,2023-12-08 22:01:07.027409,0 days 00:00:04.686509,False,71,tversky,65,COMPLETE
106,106,0.026990971391878216,2023-12-08 22:01:07.027995,2023-12-08 22:01:11.032689,0 days 00:00:04.004694,False,48,tversky,5,COMPLETE
107,107,0.026023379326488256,2023-12-08 22:01:11.033237,2023-12-08 22:01:16.145358,0 days 00:00:05.112121,False,92,tversky,95,COMPLETE
108,108,0.02741882793372447,2023-12-08 22:01:16.145967,2023-12-08 22:01:20.465260,0 days 00:00:04.319293,False,26,tversky,44,COMPLETE
109,109,0.024400705080756938,2023-12-08 22:01:20.465851,2023-12-08 22:01:25.391806,0 days 00:00:04.925955,False,357,tversky,41,COMPLETE
110,110,0.026254120088317078,2023-12-08 22:01:25.392364,2023-12-08 22:01:31.603318,0 days 00:00:06.210954,False,44,tversky,268,COMPLETE
111,111,0.024919005864601763,2023-12-08 22:01:31.603861,2023-12-08 22:01:39.005610,0 days 00:00:07.401749,False,18,tversky,864,COMPLETE
112,112,0.02722172006174605,2023-12-08 22:01:39.006243,2023-12-08 22:01:43.401961,0 days 00:00:04.395718,False,20,tversky,52,COMPLETE
113,113,0.026585822784009373,2023-12-08 22:01:43.402500,2023-12-08 22:01:48.012155,0 days 00:00:04.609655,False,72,tversky,51,COMPLETE
114,114,0.026923527681299835,2023-12-08 22:01:48.012857,2023-12-08 22:01:52.768483,0 days 00:00:04.755626,False,39,tversky,74,COMPLETE
115,115,0.0275912508619764,2023-12-08 22:01:52.768995,2023-12-08 22:01:56.949045,0 days 00:00:04.180050,False,26,tversky,25,COMPLETE
116,116,0.02629459343189917,2023-12-08 22:01:56.949673,2023-12-08 22:02:01.340485,0 days 00:00:04.390812,False,133,tversky,22,COMPLETE
117,117,0.02712208272441443,2023-12-08 22:02:01.341178,2023-12-08 22:02:05.662030,0 days 00:00:04.320852,False,50,jaccard,28,COMPLETE
118,118,0.025930234489172355,2023-12-08 22:02:05.662735,2023-12-08 22:02:11.089214,0 days 00:00:05.426479,False,91,tversky,115,COMPLETE
119,119,0.027223712887573127,2023-12-08 22:02:11.089843,2023-12-08 22:02:15.818061,0 days 00:00:04.728218,False,30,tversky,72,COMPLETE
120,120,0.026172232344512145,2023-12-08 22:02:15.818900,2023-12-08 22:02:21.476794,0 days 00:00:05.657894,False,67,tversky,148,COMPLETE
121,121,0.024455895284910892,2023-12-08 22:02:21.477341,2023-12-08 22:02:25.952249,0 days 00:00:04.474908,False,0,tversky,69,COMPLETE
122,122,0.02733414469813447,2023-12-08 22:02:25.952806,2023-12-08 22:02:30.339105,0 days 00:00:04.386299,False,29,tversky,47,COMPLETE
123,123,0.027172073392928462,2023-12-08 22:02:30.339723,2023-12-08 22:02:34.798733,0 days 00:00:04.459010,False,47,tversky,42,COMPLETE
124,124,0.027762886940348164,2023-12-08 22:02:34.799306,2023-12-08 22:02:38.940805,0 days 00:00:04.141499,False,25,tversky,15,COMPLETE
125,125,0.026683609640215957,2023-12-08 22:02:38.941411,2023-12-08 22:02:42.866943,0 days 00:00:03.925532,False,65,tversky,5,COMPLETE
126,126,0.024267612784452195,2023-12-08 22:02:42.867478,2023-12-08 22:02:47.054311,0 days 00:00:04.186833,False,0,tversky,22,COMPLETE
127,127,0.02618092723338847,2023-12-08 22:02:47.054960,2023-12-08 22:02:51.517733,0 days 00:00:04.462773,False,110,tversky,43,COMPLETE
128,128,0.02705838347030071,2023-12-08 22:02:51.518330,2023-12-08 22:02:56.216304,0 days 00:00:04.697974,False,24,tversky,87,COMPLETE
129,129,0.02612328158312626,2023-12-08 22:02:56.216907,2023-12-08 22:02:59.976326,0 days 00:00:03.759419,False,83,tversky,5,COMPLETE
130,130,0.026652906678813534,2023-12-08 22:02:59.977030,2023-12-08 22:03:05.016706,0 days 00:00:05.039676,False,45,tversky,120,COMPLETE
131,131,0.02733312456110392,2023-12-08 22:03:05.017454,2023-12-08 22:03:09.301819,0 days 00:00:04.284365,False,21,tversky,54,COMPLETE
132,132,0.027207497453611538,2023-12-08 22:03:09.302419,2023-12-08 22:03:13.700561,0 days 00:00:04.398142,False,27,tversky,53,COMPLETE
133,133,0.026946832672221453,2023-12-08 22:03:13.701162,2023-12-08 22:03:17.787727,0 days 00:00:04.086565,False,58,tversky,28,COMPLETE
134,134,0.026913871965685555,2023-12-08 22:03:17.788263,2023-12-08 22:03:22.527056,0 days 00:00:04.738793,False,24,tversky,103,COMPLETE
135,135,0.02692783360853323,2023-12-08 22:03:22.527627,2023-12-08 22:03:27.195354,0 days 00:00:04.667727,False,46,tversky,65,COMPLETE
136,136,0.024388795574028795,2023-12-08 22:03:27.196002,2023-12-08 22:03:31.495583,0 days 00:00:04.299581,False,0,tversky,41,COMPLETE
137,137,0.02687180119822621,2023-12-08 22:03:31.496226,2023-12-08 22:03:35.829885,0 days 00:00:04.333659,False,69,jaccard,22,COMPLETE
138,138,0.02352898612613641,2023-12-08 22:03:35.830556,2023-12-08 22:03:43.172424,0 days 00:00:07.341868,False,97,tversky,685,COMPLETE
139,139,0.027132094301783552,2023-12-08 22:03:43.172980,2023-12-08 22:03:47.988457,0 days 00:00:04.815477,False,18,tversky,84,COMPLETE
140,140,0.025629428501837845,2023-12-08 22:03:47.989009,2023-12-08 22:03:54.714134,0 days 00:00:06.725125,False,36,tversky,402,COMPLETE
141,141,0.027247322337995983,2023-12-08 22:03:54.714778,2023-12-08 22:03:59.168379,0 days 00:00:04.453601,False,24,tversky,51,COMPLETE
142,142,0.026749372892507742,2023-12-08 22:03:59.169052,2023-12-08 22:04:03.904882,0 days 00:00:04.735830,False,53,tversky,62,COMPLETE
143,143,0.027483147968899314,2023-12-08 22:04:03.905522,2023-12-08 22:04:08.131250,0 days 00:00:04.225728,False,16,tversky,39,COMPLETE
144,144,0.027540860837493058,2023-12-08 22:04:08.131836,2023-12-08 22:04:12.403070,0 days 00:00:04.271234,False,15,tversky,37,COMPLETE
145,145,0.025564131823846842,2023-12-08 22:04:12.403598,2023-12-08 22:04:16.231043,0 days 00:00:03.827445,False,2,tversky,5,COMPLETE
146,146,0.026823645194759285,2023-12-08 22:04:16.231788,2023-12-08 22:04:20.527695,0 days 00:00:04.295907,False,69,tversky,35,COMPLETE
147,147,0.027748952975637002,2023-12-08 22:04:20.528292,2023-12-08 22:04:24.625336,0 days 00:00:04.097044,False,14,tversky,25,COMPLETE
148,148,0.027238904230484594,2023-12-08 22:04:24.626164,2023-12-08 22:04:28.810567,0 days 00:00:04.184403,False,43,tversky,28,COMPLETE
149,149,0.026676955025400722,2023-12-08 22:04:28.811257,2023-12-08 22:04:33.076116,0 days 00:00:04.264859,False,80,tversky,21,COMPLETE
150,150,0.02714051636331442,2023-12-08 22:04:33.076713,2023-12-08 22:04:37.876168,0 days 00:00:04.799455,False,14,tversky,97,COMPLETE
151,151,0.027137732733587775,2023-12-08 22:04:37.876743,2023-12-08 22:04:42.468076,0 days 00:00:04.591333,False,20,tversky,77,COMPLETE
152,152,0.02727663348453514,2023-12-08 22:04:42.468649,2023-12-08 22:04:46.979984,0 days 00:00:04.511335,False,42,tversky,43,COMPLETE
153,153,0.027214163930485324,2023-12-08 22:04:46.980671,2023-12-08 22:04:51.401821,0 days 00:00:04.421150,False,38,tversky,45,COMPLETE
154,154,0.027157791474501432,2023-12-08 22:04:51.402425,2023-12-08 22:04:55.627199,0 days 00:00:04.224774,False,57,tversky,24,COMPLETE
155,155,0.025186317352768144,2023-12-08 22:04:55.627761,2023-12-08 22:04:59.449182,0 days 00:00:03.821421,False,1,tversky,6,COMPLETE
156,156,0.027114498915017233,2023-12-08 22:04:59.449786,2023-12-08 22:05:03.860548,0 days 00:00:04.410762,False,34,tversky,51,COMPLETE
157,157,0.02305294590268689,2023-12-08 22:05:03.861288,2023-12-08 22:05:09.076121,0 days 00:00:05.214833,False,764,tversky,38,COMPLETE
158,158,0.026185146172192923,2023-12-08 22:05:09.076689,2023-12-08 22:05:13.740420,0 days 00:00:04.663731,False,90,tversky,67,COMPLETE
159,159,0.026631938513415332,2023-12-08 22:05:13.741032,2023-12-08 22:05:18.498860,0 days 00:00:04.757828,False,57,tversky,88,COMPLETE
160,160,0.022654100001897957,2023-12-08 22:05:18.499382,2023-12-08 22:05:26.254591,0 days 00:00:07.755209,False,0,tversky,992,COMPLETE
161,161,0.02716854245351671,2023-12-08 22:05:26.255290,2023-12-08 22:05:30.849160,0 days 00:00:04.593870,False,20,tversky,73,COMPLETE
162,162,0.027259773545395407,2023-12-08 22:05:30.850019,2023-12-08 22:05:35.183961,0 days 00:00:04.333942,False,35,tversky,38,COMPLETE
163,163,0.02733312456110392,2023-12-08 22:05:35.184610,2023-12-08 22:05:39.623786,0 days 00:00:04.439176,False,21,tversky,54,COMPLETE
164,164,0.027145502381901474,2023-12-08 22:05:39.624392,2023-12-08 22:05:43.712144,0 days 00:00:04.087752,False,49,tversky,22,COMPLETE
165,165,0.025395730133424547,2023-12-08 22:05:43.712793,2023-12-08 22:05:49.970406,0 days 00:00:06.257613,False,72,jaccard,316,COMPLETE
