,number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_min_interactions,state
29,29,0.027842856984696535,2023-12-09 15:39:07.759588,2023-12-09 15:39:13.792799,0 days 00:00:06.033211,0.4398206364414755,0.9476105883715676,0.7770056988363578,7,COMPLETE
30,30,0.030364390574883056,2023-12-09 15:39:13.793533,2023-12-09 15:39:19.844853,0 days 00:00:06.051320,0.7203503821072845,1.66017893215971,0.3966002835955264,3,COMPLETE
31,31,0.030817339324463993,2023-12-09 15:39:19.845453,2023-12-09 15:39:25.737786,0 days 00:00:05.892333,0.6119564751823359,1.0326447547007283,0.16055393423455372,2,COMPLETE
32,32,0.03087040226612792,2023-12-09 15:39:25.740718,2023-12-09 15:39:31.864309,0 days 00:00:06.123591,0.8818322711911825,1.1482361730492734,0.17544999302468292,2,COMPLETE
33,33,0.030953183618339337,2023-12-09 15:39:31.864924,2023-12-09 15:39:38.024124,0 days 00:00:06.159200,0.9096015896402405,1.2688586474376375,0.2932836178900352,1,COMPLETE
34,34,0.03088785135417288,2023-12-09 15:39:38.024741,2023-12-09 15:39:44.065380,0 days 00:00:06.040639,1.073729122005253,1.2892524064841173,0.3420349862035081,1,COMPLETE
35,35,0.03094644992313414,2023-12-09 15:39:44.066360,2023-12-09 15:39:50.136255,0 days 00:00:06.069895,1.6303542720076842,1.2975062169043523,0.3280283370501761,1,COMPLETE
36,36,0.02959100808517936,2023-12-09 15:39:50.137604,2023-12-09 15:39:55.935576,0 days 00:00:05.797972,1.660392324254112,1.5034338958170161,0.468084158781517,10,COMPLETE
37,37,0.03072934262053458,2023-12-09 15:39:55.936345,2023-12-09 15:40:01.911249,0 days 00:00:05.974904,1.586602296245637,1.9958375375153494,0.6190461954365591,1,COMPLETE
38,38,0.029745147627272234,2023-12-09 15:40:01.913008,2023-12-09 15:40:07.745370,0 days 00:00:05.832362,1.7039394440647495,1.3456096773910293,0.3532585911199766,9,COMPLETE
39,39,0.031210432126883153,2023-12-09 15:40:07.746026,2023-12-09 15:40:13.599952,0 days 00:00:05.853926,1.830475514866302,1.2243172247894216,0.09830891652040918,1,COMPLETE
40,40,0.030736151442110213,2023-12-09 15:40:13.601610,2023-12-09 15:40:19.684047,0 days 00:00:06.082437,1.8028120753429082,1.221724460421468,0.46401949844527307,1,COMPLETE
