,number,value,datetime_start,datetime_complete,duration,params_alpha,system_attrs_fixed_params,state
36,36,0.028208436673280612,2023-12-08 20:42:11.778372,2023-12-08 20:42:16.256600,0 days 00:00:04.478228,0.572163102452063,,COMPLETE
37,37,0.02815635333994724,2023-12-08 20:42:16.257124,2023-12-08 20:42:20.682098,0 days 00:00:04.424974,0.522711931038973,,COMPLETE
38,38,0.028211813822751487,2023-12-08 20:42:20.682720,2023-12-08 20:42:25.302234,0 days 00:00:04.619514,0.5509225444567073,,COMPLETE
39,39,0.0281139798280425,2023-12-08 20:42:25.302882,2023-12-08 20:42:29.609968,0 days 00:00:04.307086,0.6048420523736887,,COMPLETE
40,40,0.028217555390211826,2023-12-08 20:42:29.610607,2023-12-08 20:42:34.097772,0 days 00:00:04.487165,0.5742456783580291,,COMPLETE
41,41,0.02821757605820125,2023-12-08 20:42:34.098547,2023-12-08 20:42:38.490438,0 days 00:00:04.391891,0.5758363250912455,,COMPLETE
42,42,0.028188326719576877,2023-12-08 20:42:38.490937,2023-12-08 20:42:42.781998,0 days 00:00:04.291061,0.5589065987823443,,COMPLETE
43,43,0.02821336805555572,2023-12-08 20:42:42.782592,2023-12-08 20:42:47.224092,0 days 00:00:04.441500,0.5371678305887487,,COMPLETE
44,44,0.028110602678571593,2023-12-08 20:42:47.224657,2023-12-08 20:42:51.724339,0 days 00:00:04.499682,0.6242561764909043,,COMPLETE
45,45,0.028166195436508095,2023-12-08 20:42:51.725000,2023-12-08 20:42:56.300065,0 days 00:00:04.575065,0.5962196801884245,,COMPLETE
46,46,0.028224276620370546,2023-12-08 20:42:56.300596,2023-12-08 20:43:00.773989,0 days 00:00:04.473393,0.5785526792066165,,COMPLETE
47,47,0.028211813822751487,2023-12-08 20:43:00.774494,2023-12-08 20:43:05.162816,0 days 00:00:04.388322,0.5508780436709623,,COMPLETE
48,48,0.028195081018518694,2023-12-08 20:43:05.163539,2023-12-08 20:43:09.449858,0 days 00:00:04.286319,0.5844513831781575,,COMPLETE
49,49,0.028131576554232963,2023-12-08 20:43:09.450590,2023-12-08 20:43:13.900209,0 days 00:00:04.449619,0.6347972077064672,,COMPLETE
50,50,0.02810709325396843,2023-12-08 20:43:13.900803,2023-12-08 20:43:18.183611,0 days 00:00:04.282808,0.605009519206922,,COMPLETE
51,51,0.028213132440476366,2023-12-08 20:43:18.184107,2023-12-08 20:43:22.520487,0 days 00:00:04.336380,0.5672036429239716,,COMPLETE
52,52,0.028226773313492236,2023-12-08 20:43:22.521209,2023-12-08 20:43:27.098122,0 days 00:00:04.576913,0.5778903338341311,,COMPLETE
53,53,0.02820905257936526,2023-12-08 20:43:27.098702,2023-12-08 20:43:31.517208,0 days 00:00:04.418506,0.582358209014315,,COMPLETE
54,54,0.02815420386904778,2023-12-08 20:43:31.517889,2023-12-08 20:43:35.979543,0 days 00:00:04.461654,0.5976208910489559,,COMPLETE
55,55,0.02820070271164037,2023-12-08 20:43:35.980224,2023-12-08 20:43:40.301421,0 days 00:00:04.321197,0.561377776607339,,COMPLETE
56,56,0.028104658564814932,2023-12-08 20:43:40.301959,2023-12-08 20:43:44.743284,0 days 00:00:04.441325,0.6493993252569502,,COMPLETE
57,57,0.028208374669312346,2023-12-08 20:43:44.743923,2023-12-08 20:43:49.245746,0 days 00:00:04.501823,0.5801442677960572,,COMPLETE
58,58,0.028188942625661538,2023-12-08 20:43:49.246443,2023-12-08 20:43:53.720706,0 days 00:00:04.474263,0.5435360462799432,,COMPLETE
59,59,0.028109751157407572,2023-12-08 20:43:53.721200,2023-12-08 20:43:58.295320,0 days 00:00:04.574120,0.6083663744322463,,COMPLETE
60,60,0.02816456266534411,2023-12-08 20:43:58.295853,2023-12-08 20:44:02.783493,0 days 00:00:04.487640,0.591722619824842,,COMPLETE
61,61,0.02823162615740759,2023-12-08 20:44:02.783995,2023-12-08 20:44:07.281688,0 days 00:00:04.497693,0.5700354051855642,,COMPLETE
62,62,0.028212082506613938,2023-12-08 20:44:07.282184,2023-12-08 20:44:11.712419,0 days 00:00:04.430235,0.5659821735869257,,COMPLETE
63,63,0.028224797453703876,2023-12-08 20:44:11.713064,2023-12-08 20:44:16.138251,0 days 00:00:04.425187,0.5780569860012862,,COMPLETE
64,64,0.02819106729497373,2023-12-08 20:44:16.138817,2023-12-08 20:44:20.668474,0 days 00:00:04.529657,0.585591948165959,,COMPLETE
65,65,0.028193055555555707,2023-12-08 20:44:20.669114,2023-12-08 20:44:25.248381,0 days 00:00:04.579267,0.5545028112298449,,COMPLETE
66,66,0.028106903108465784,2023-12-08 20:44:25.248980,2023-12-08 20:44:29.709483,0 days 00:00:04.460503,0.6150088001462669,,COMPLETE
67,67,0.02814842096560866,2023-12-08 20:44:29.709997,2023-12-08 20:44:34.032744,0 days 00:00:04.322747,0.5929858292094297,,COMPLETE
68,68,0.028208957506613935,2023-12-08 20:44:34.033272,2023-12-08 20:44:38.488315,0 days 00:00:04.455043,0.5657443229009997,,COMPLETE
69,69,0.028148524305555717,2023-12-08 20:44:38.488841,2023-12-08 20:44:43.022810,0 days 00:00:04.533969,0.6005435947438423,,COMPLETE
