,Fold,MAP,topK,l1_ratio,alpha,epochs
0,0,0.03436422296191241,146,0.00045821086538866553,0.220720155896855,-1.0
1,1,0.034228487129660326,146,0.00045821086538866553,0.220720155896855,-1.0
2,2,0.03455038102530492,146,0.00045821086538866553,0.220720155896855,-1.0
3,3,0.034659544783061144,146,0.00045821086538866553,0.220720155896855,-1.0
4,4,0.03443890108957474,146,0.00045821086538866553,0.220720155896855,-1.0
5,5,0.0344471900390136,146,0.00045821086538866553,0.220720155896855,-1.0
6,6,0.03400856584791848,146,0.00045821086538866553,0.220720155896855,-1.0
7,7,0.03359663686675212,146,0.00045821086538866553,0.220720155896855,-1.0
8,0,0.029693108303927792,732,0.0005328426970906089,0.3220982534050008,-1.0
9,1,0.029915099493904036,732,0.0005328426970906089,0.3220982534050008,-1.0
10,2,0.030074644042149965,732,0.0005328426970906089,0.3220982534050008,-1.0
11,3,0.030029051388205254,732,0.0005328426970906089,0.3220982534050008,-1.0
12,4,0.02936609861488136,732,0.0005328426970906089,0.3220982534050008,-1.0
13,5,0.02987597929988116,732,0.0005328426970906089,0.3220982534050008,-1.0
14,6,0.02932043413843381,732,0.0005328426970906089,0.3220982534050008,-1.0
15,7,0.029244347898802175,732,0.0005328426970906089,0.3220982534050008,-1.0
16,0,0.03396091770041389,754,2.698943710247404e-05,0.17674744965511321,-1.0
17,1,0.03352624465753795,754,2.698943710247404e-05,0.17674744965511321,-1.0
18,2,0.03384820744913623,754,2.698943710247404e-05,0.17674744965511321,-1.0
19,3,0.03402705586255984,754,2.698943710247404e-05,0.17674744965511321,-1.0
20,4,0.033728502922860254,754,2.698943710247404e-05,0.17674744965511321,-1.0
21,5,0.03385405841233561,754,2.698943710247404e-05,0.17674744965511321,-1.0
22,6,0.03321930526931999,754,2.698943710247404e-05,0.17674744965511321,-1.0
23,7,0.03309077571002892,754,2.698943710247404e-05,0.17674744965511321,-1.0
24,0,0.02644762071495278,966,0.005763486378439689,0.35302679883879584,-1.0
25,1,0.02655137617594724,966,0.005763486378439689,0.35302679883879584,-1.0
26,2,0.026738181075135682,966,0.005763486378439689,0.35302679883879584,-1.0
27,3,0.02659050841069234,966,0.005763486378439689,0.35302679883879584,-1.0
28,4,0.026087463757902114,966,0.005763486378439689,0.35302679883879584,-1.0
29,5,0.026864379730099853,966,0.005763486378439689,0.35302679883879584,-1.0
30,6,0.02631587786861515,966,0.005763486378439689,0.35302679883879584,-1.0
31,7,0.026385338745970998,966,0.005763486378439689,0.35302679883879584,-1.0
32,0,4.636324226660361e-05,959,0.6436600980669053,0.30847382044628147,-1.0
33,1,4.298563437579456e-05,959,0.6436600980669053,0.30847382044628147,-1.0
34,2,2.9575797904664673e-05,959,0.6436600980669053,0.30847382044628147,-1.0
35,3,5.9109658161745494e-05,959,0.6436600980669053,0.30847382044628147,-1.0
36,4,2.8004740837739975e-05,959,0.6436600980669053,0.30847382044628147,-1.0
37,5,5.1871315570924845e-05,959,0.6436600980669053,0.30847382044628147,-1.0
38,6,3.315787637942984e-05,959,0.6436600980669053,0.30847382044628147,-1.0
39,7,5.223727422003285e-05,959,0.6436600980669053,0.30847382044628147,-1.0
40,0,0.026290895145937257,509,0.0018255597312014876,0.46883785570299763,-1.0
41,1,0.026591036013948077,509,0.0018255597312014876,0.46883785570299763,-1.0
42,2,0.02665128436520099,509,0.0018255597312014876,0.46883785570299763,-1.0
43,3,0.02673219377116356,509,0.0018255597312014876,0.46883785570299763,-1.0
44,4,0.025970996470137196,509,0.0018255597312014876,0.46883785570299763,-1.0
45,5,0.026829329908525653,509,0.0018255597312014876,0.46883785570299763,-1.0
46,6,0.026193319594007593,509,0.0018255597312014876,0.46883785570299763,-1.0
47,7,0.0260454980842913,509,0.0018255597312014876,0.46883785570299763,-1.0
48,0,4.636324226660361e-05,123,0.23211302920632784,0.8707570918789301,-1.0
49,1,4.298563437579456e-05,123,0.23211302920632784,0.8707570918789301,-1.0
50,2,2.9575797904664673e-05,123,0.23211302920632784,0.8707570918789301,-1.0
51,3,5.9109658161745494e-05,123,0.23211302920632784,0.8707570918789301,-1.0
52,4,2.8004740837739975e-05,123,0.23211302920632784,0.8707570918789301,-1.0
53,5,5.1871315570924845e-05,123,0.23211302920632784,0.8707570918789301,-1.0
54,6,3.315787637942984e-05,123,0.23211302920632784,0.8707570918789301,-1.0
55,7,5.223727422003285e-05,123,0.23211302920632784,0.8707570918789301,-1.0
56,0,0.025776454521202474,371,0.0033641961747046837,0.4582232627230677,-1.0
57,1,0.026014152228397175,371,0.0033641961747046837,0.4582232627230677,-1.0
58,2,0.026211988623933608,371,0.0033641961747046837,0.4582232627230677,-1.0
59,3,0.026192178390569927,371,0.0033641961747046837,0.4582232627230677,-1.0
60,4,0.02548284401764784,371,0.0033641961747046837,0.4582232627230677,-1.0
61,5,0.026326795338994017,371,0.0033641961747046837,0.4582232627230677,-1.0
62,6,0.02577566152730964,371,0.0033641961747046837,0.4582232627230677,-1.0
63,7,0.02577149470899481,371,0.0033641961747046837,0.4582232627230677,-1.0
64,0,0.026318004474517147,955,4.547471031578008e-05,0.6279026835573539,-1.0
65,1,0.026455707505478803,955,4.547471031578008e-05,0.6279026835573539,-1.0
66,2,0.026786952466029957,955,4.547471031578008e-05,0.6279026835573539,-1.0
67,3,0.026904389548491513,955,4.547471031578008e-05,0.6279026835573539,-1.0
68,4,0.02578718291479681,955,4.547471031578008e-05,0.6279026835573539,-1.0
69,5,0.02667061487703835,955,4.547471031578008e-05,0.6279026835573539,-1.0
70,6,0.026425466431915436,955,4.547471031578008e-05,0.6279026835573539,-1.0
71,7,0.026289583713434393,955,4.547471031578008e-05,0.6279026835573539,-1.0
72,0,0.03641957161652582,405,0.03129342904585775,0.03770993361409372,-1.0
73,1,0.035731084958774244,405,0.03129342904585775,0.03770993361409372,-1.0
74,2,0.0364974043790569,405,0.03129342904585775,0.03770993361409372,-1.0
75,3,0.036349445721095094,405,0.03129342904585775,0.03770993361409372,-1.0
76,4,0.03646734460040155,405,0.03129342904585775,0.03770993361409372,-1.0
77,5,0.03613444488313479,405,0.03129342904585775,0.03770993361409372,-1.0
78,6,0.03557951596931293,405,0.03129342904585775,0.03770993361409372,-1.0
79,7,0.03578914659733664,405,0.03129342904585775,0.03770993361409372,-1.0
80,0,0.0142996592576424,977,0.12301386360539243,0.1179236938713261,-1.0
81,1,0.015066943475839279,977,0.12301386360539243,0.1179236938713261,-1.0
82,2,0.014901439327645191,977,0.12301386360539243,0.1179236938713261,-1.0
83,3,0.015108785024286663,977,0.12301386360539243,0.1179236938713261,-1.0
84,4,0.015366660907336887,977,0.12301386360539243,0.1179236938713261,-1.0
85,5,0.01548878012401307,977,0.12301386360539243,0.1179236938713261,-1.0
86,6,0.015295869406646049,977,0.12301386360539243,0.1179236938713261,-1.0
87,7,0.01527006552940453,977,0.12301386360539243,0.1179236938713261,-1.0
88,0,0.025492905495531615,882,0.003084263117964566,0.4910921338180883,-1.0
89,1,0.025681175311467158,882,0.003084263117964566,0.4910921338180883,-1.0
90,2,0.02595180364131367,882,0.003084263117964566,0.4910921338180883,-1.0
91,3,0.02589644772117972,882,0.003084263117964566,0.4910921338180883,-1.0
92,4,0.025152951883831293,882,0.003084263117964566,0.4910921338180883,-1.0
93,5,0.026066916871262676,882,0.003084263117964566,0.4910921338180883,-1.0
94,6,0.025543260678686397,882,0.003084263117964566,0.4910921338180883,-1.0
95,7,0.025498719059782356,882,0.003084263117964566,0.4910921338180883,-1.0
96,0,0.03330795196866655,381,1.3290957018270376e-05,0.22305109704505338,-1.0
97,1,0.032985944632112026,381,1.3290957018270376e-05,0.22305109704505338,-1.0
98,2,0.03331652294659599,381,1.3290957018270376e-05,0.22305109704505338,-1.0
99,3,0.033417987391561196,381,1.3290957018270376e-05,0.22305109704505338,-1.0
100,4,0.0331843523557935,381,1.3290957018270376e-05,0.22305109704505338,-1.0
101,5,0.033228883503590705,381,1.3290957018270376e-05,0.22305109704505338,-1.0
102,6,0.032694113472273835,381,1.3290957018270376e-05,0.22305109704505338,-1.0
103,7,0.03257401325792158,381,1.3290957018270376e-05,0.22305109704505338,-1.0
104,0,0.02625978042732247,328,5.85464618149173e-05,0.9057977381402053,-1.0
105,1,0.026502805927863273,328,5.85464618149173e-05,0.9057977381402053,-1.0
106,2,0.026843741644181997,328,5.85464618149173e-05,0.9057977381402053,-1.0
107,3,0.026713104812970824,328,5.85464618149173e-05,0.9057977381402053,-1.0
108,4,0.02588570913262987,328,5.85464618149173e-05,0.9057977381402053,-1.0
109,5,0.026645594417442447,328,5.85464618149173e-05,0.9057977381402053,-1.0
110,6,0.026332100433562253,328,5.85464618149173e-05,0.9057977381402053,-1.0
111,7,0.02604423614912131,328,5.85464618149173e-05,0.9057977381402053,-1.0
112,0,0.028301225793347713,361,2.5270846055305513e-05,0.5535266886238421,-1.0
113,1,0.028639280114537733,361,2.5270846055305513e-05,0.5535266886238421,-1.0
114,2,0.028748898551253246,361,2.5270846055305513e-05,0.5535266886238421,-1.0
115,3,0.028791042779936132,361,2.5270846055305513e-05,0.5535266886238421,-1.0
116,4,0.0280128948361548,361,2.5270846055305513e-05,0.5535266886238421,-1.0
117,5,0.028740554927775143,361,2.5270846055305513e-05,0.5535266886238421,-1.0
118,6,0.028300342269961202,361,2.5270846055305513e-05,0.5535266886238421,-1.0
119,7,0.028066270601471908,361,2.5270846055305513e-05,0.5535266886238421,-1.0
