,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,params_normalize_similarity,params_topK,system_attrs_fixed_params,state
0,0,0.024140174437830737,2023-12-08 12:36:06.507746,2023-12-08 12:36:13.189827,0 days 00:00:06.682081,0.8604387480969916,0.1537736651871471,True,46,"{'topK': 46, 'alpha': 0.8604387480969916, 'beta': 0.1537736651871471, 'normalize_similarity': True}",COMPLETE
1,1,0.014399875992063467,2023-12-08 12:36:13.190400,2023-12-08 12:36:37.841278,0 days 00:00:24.650878,0.52284463574913,0.5107625344313761,True,1881,,COMPLETE
2,2,0.015140199239417982,2023-12-08 12:36:37.841849,2023-12-08 12:37:06.672453,0 days 00:00:28.830604,0.4672012320175528,0.464938532790822,True,3664,,COMPLETE
3,3,0.016641410383597864,2023-12-08 12:37:06.672982,2023-12-08 12:37:34.506737,0 days 00:00:27.833755,0.726631295400299,0.12148276773834095,False,3184,,COMPLETE
4,4,0.016009565145502596,2023-12-08 12:37:34.507273,2023-12-08 12:38:04.726295,0 days 00:00:30.219022,0.6099292099490871,0.6384468645677301,False,4544,,COMPLETE
5,5,0.018963177910052916,2023-12-08 12:38:04.726844,2023-12-08 12:38:35.528861,0 days 00:00:30.802017,0.16597983155942397,0.28410360967898773,True,4637,,COMPLETE
6,6,0.016195391038359753,2023-12-08 12:38:35.529504,2023-12-08 12:39:05.935054,0 days 00:00:30.405550,0.4250392844504818,0.22810991571657038,False,4584,,COMPLETE
7,7,0.02072969990079371,2023-12-08 12:39:05.935743,2023-12-08 12:39:28.155231,0 days 00:00:22.219488,0.21303227569893501,0.5117550011682056,False,1212,,COMPLETE
8,8,0.013307750496031672,2023-12-08 12:39:28.155753,2023-12-08 12:39:52.424254,0 days 00:00:24.268501,0.00011269056977580849,0.11188255816821915,False,1839,,COMPLETE
9,9,0.02039206762566145,2023-12-08 12:39:52.425219,2023-12-08 12:40:17.343217,0 days 00:00:24.917998,0.8038754788480235,0.2852985460356132,False,2052,,COMPLETE
10,10,0.022648102678571418,2023-12-08 12:40:17.343961,2023-12-08 12:40:26.078569,0 days 00:00:08.734608,0.9910341344736124,0.047523853872283625,True,166,,COMPLETE
11,11,0.022576178075396892,2023-12-08 12:40:26.079126,2023-12-08 12:40:31.952747,0 days 00:00:05.873621,0.9893464732834847,0.00755876531602484,True,68,,COMPLETE
12,12,0.021778931051587326,2023-12-08 12:40:31.953362,2023-12-08 12:40:37.478138,0 days 00:00:05.524776,0.9820152726718671,0.002590389252351777,True,36,,COMPLETE
13,13,0.020976694775132303,2023-12-08 12:40:37.478690,2023-12-08 12:40:55.929544,0 days 00:00:18.450854,0.8693769635349466,0.1510179349771461,True,810,,COMPLETE
14,14,0.018980886243386275,2023-12-08 12:40:55.930288,2023-12-08 12:41:15.123434,0 days 00:00:19.193146,0.8626905848946276,0.36238047970816745,True,849,,COMPLETE
15,15,0.022111669146825445,2023-12-08 12:41:15.124332,2023-12-08 12:41:29.965444,0 days 00:00:14.841112,0.7011465495322272,0.1591198190920959,True,539,,COMPLETE
16,16,0.019205328207671974,2023-12-08 12:41:29.975911,2023-12-08 12:41:51.915313,0 days 00:00:21.939402,0.9987623908018239,0.05797838496304258,True,1264,,COMPLETE
17,17,0.017972337962962964,2023-12-08 12:41:51.915859,2023-12-08 12:42:19.417494,0 days 00:00:27.501635,0.8810027370561235,0.2073386801284777,True,2813,,COMPLETE
18,18,0.023401322751322822,2023-12-08 12:42:19.423561,2023-12-08 12:42:31.356141,0 days 00:00:11.932580,0.7568046721366994,0.07939851109875826,True,372,,COMPLETE
19,19,0.0032691509589947263,2023-12-08 12:42:31.356695,2023-12-08 12:42:54.539151,0 days 00:00:23.182456,0.7135904534589518,0.7884564598661216,True,1371,,COMPLETE
20,20,0.022353782242063483,2023-12-08 12:42:54.539693,2023-12-08 12:43:09.085017,0 days 00:00:14.545324,0.6161668129896031,0.07616916210933365,True,580,,COMPLETE
21,21,0.023790794477513207,2023-12-08 12:43:09.085537,2023-12-08 12:43:15.699352,0 days 00:00:06.613815,0.8991715363178853,0.07006025832325126,True,94,,COMPLETE
22,22,0.022136073908730215,2023-12-08 12:43:15.699879,2023-12-08 12:43:29.687665,0 days 00:00:13.987786,0.801900671036855,0.18403003390190092,True,502,,COMPLETE
23,23,0.0203346188822752,2023-12-08 12:43:29.688405,2023-12-08 12:43:49.086579,0 days 00:00:19.398174,0.9104183191915954,0.09592650478881104,True,1021,,COMPLETE
24,24,0.023290186838624372,2023-12-08 12:43:49.087153,2023-12-08 12:44:01.352961,0 days 00:00:12.265808,0.7875090530246481,0.10442693597030006,True,370,,COMPLETE
25,25,0.018915203373015842,2023-12-08 12:44:01.353619,2023-12-08 12:44:24.343018,0 days 00:00:22.989399,0.9102869072968528,0.005486146730465671,True,1584,,COMPLETE
26,26,0.018749388227513264,2023-12-08 12:44:24.343661,2023-12-08 12:44:51.947987,0 days 00:00:27.604326,0.805121206068205,0.23730826451626202,True,2345,,COMPLETE
27,27,0.021317286706349286,2023-12-08 12:44:51.948598,2023-12-08 12:45:09.678252,0 days 00:00:17.729654,0.6672077905804579,0.16172102991941412,True,820,,COMPLETE
28,28,0.0206319485780423,2023-12-08 12:45:09.678875,2023-12-08 12:45:14.463367,0 days 00:00:04.784492,0.7726645699340459,0.07776263840456235,True,9,,COMPLETE
29,29,0.018288062169312114,2023-12-08 12:45:14.463935,2023-12-08 12:45:43.942016,0 days 00:00:29.478081,0.5541805674215589,0.15168557247388292,True,3887,,COMPLETE
