,Fold,MAP,topK,alpha,beta,normalize_similarity
233,1,0.0009714791406092711,296,0.28601948490025747,0.9790290755259038,False
234,2,0.0008686018721370236,296,0.28601948490025747,0.9790290755259038,False
235,3,0.0008745081466200594,296,0.28601948490025747,0.9790290755259038,False
236,4,0.0008332541029456267,296,0.28601948490025747,0.9790290755259038,False
237,5,0.0009461380853830273,296,0.28601948490025747,0.9790290755259038,False
238,6,0.0009626247863732951,296,0.28601948490025747,0.9790290755259038,False
239,7,0.0009429567463494598,296,0.28601948490025747,0.9790290755259038,False
240,0,0.02853790346344714,11,0.28025841662574447,0.3147219295154744,True
241,1,0.02844389198803475,11,0.28025841662574447,0.3147219295154744,True
242,2,0.027956677193881084,11,0.28025841662574447,0.3147219295154744,True
243,3,0.02849423624243139,11,0.28025841662574447,0.3147219295154744,True
244,4,0.028188377377506055,11,0.28025841662574447,0.3147219295154744,True
245,5,0.029050933211257755,11,0.28025841662574447,0.3147219295154744,True
246,6,0.028636718725366078,11,0.28025841662574447,0.3147219295154744,True
247,7,0.02813779992247783,11,0.28025841662574447,0.3147219295154744,True
248,0,0.02899046090523329,187,0.2651626829923486,0.0673342678042141,True
249,1,0.02787947889965285,187,0.2651626829923486,0.0673342678042141,True
250,2,0.027744947411348714,187,0.2651626829923486,0.0673342678042141,True
251,3,0.028455285911664026,187,0.2651626829923486,0.0673342678042141,True
252,4,0.02820482956751309,187,0.2651626829923486,0.0673342678042141,True
253,5,0.028088514396345528,187,0.2651626829923486,0.0673342678042141,True
254,6,0.028656839838305973,187,0.2651626829923486,0.0673342678042141,True
255,7,0.02785019285269512,187,0.2651626829923486,0.0673342678042141,True
256,0,0.028641035520068758,225,0.2651626829923486,0.01996061379138896,True
257,1,0.02758567037454495,225,0.2651626829923486,0.01996061379138896,True
258,2,0.027646294294123547,225,0.2651626829923486,0.01996061379138896,True
259,3,0.028429865528241324,225,0.2651626829923486,0.01996061379138896,True
260,4,0.028053253912792776,225,0.2651626829923486,0.01996061379138896,True
261,5,0.028145745313279968,225,0.2651626829923486,0.01996061379138896,True
262,6,0.028382148217517892,225,0.2651626829923486,0.01996061379138896,True
263,7,0.027685994033321993,225,0.2651626829923486,0.01996061379138896,True
264,0,0.024342955157508925,5,0.37644615066224263,0.2840253812294265,True
265,1,0.024318394024276463,5,0.37644615066224263,0.2840253812294265,True
266,2,0.024149931399234315,5,0.37644615066224263,0.2840253812294265,True
267,3,0.024604639021004834,5,0.37644615066224263,0.2840253812294265,True
268,4,0.02436861700189041,5,0.37644615066224263,0.2840253812294265,True
269,5,0.02444916931322901,5,0.37644615066224263,0.2840253812294265,True
270,6,0.02466848052292034,5,0.37644615066224263,0.2840253812294265,True
271,7,0.02444452784449789,5,0.37644615066224263,0.2840253812294265,True
272,0,0.027427702375831167,151,0.27920546422242204,0.35328748851058894,True
273,1,0.026219050155432817,151,0.27920546422242204,0.35328748851058894,True
274,2,0.02706048880416549,151,0.27920546422242204,0.35328748851058894,True
275,3,0.027140023812707432,151,0.27920546422242204,0.35328748851058894,True
276,4,0.02641501510923499,151,0.27920546422242204,0.35328748851058894,True
277,5,0.0270224584259234,151,0.27920546422242204,0.35328748851058894,True
278,6,0.027067910431289522,151,0.27920546422242204,0.35328748851058894,True
279,7,0.02659724207937784,151,0.27920546422242204,0.35328748851058894,True
280,0,0.024011655391830207,297,0.3137917772498141,0.3532214731661704,False
281,1,0.0232540950732302,297,0.3137917772498141,0.3532214731661704,False
282,2,0.02353395500801396,297,0.3137917772498141,0.3532214731661704,False
283,3,0.023676357292482467,297,0.3137917772498141,0.3532214731661704,False
284,4,0.022778316544414163,297,0.3137917772498141,0.3532214731661704,False
285,5,0.023682659691822608,297,0.3137917772498141,0.3532214731661704,False
286,6,0.023251039755062486,297,0.3137917772498141,0.3532214731661704,False
287,7,0.023386590224560626,297,0.3137917772498141,0.3532214731661704,False
