,Fold,MAP,num_factors,epochs,confidence_scaling,alpha,epsilon,reg
0,0,0.0186138293631096,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
1,1,0.018062082784443736,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
2,2,0.017551754851844438,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
3,3,0.01826756983044587,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
4,4,0.018614153557998985,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
5,5,0.018456954816107603,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
6,6,0.018254803841812144,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
7,7,0.01897125637017546,22,300,log,0.010069576527238246,0.01825624460352117,0.0001277757013427687
